companies,425
employees,221
firearms,192
workers,169
customers,146
goods,125
sales,117
products,111
businesses,110
drivers,108
brands,97
tariffs,95
swaps,90
records,90
guitars,80
points,76
buyers,75
prices,68
makers,67
retailers,66
organizations,60
plans,59
stocks,57
media,57
students,54
